filename,DATE_FALLBACK,cross ETFA REF,file_extension
EFTA00008998.pdf,,0008998,
EFTA00008998.pdf,,0008999,
EFTA00008998.pdf,,0009000,
EFTA00008998.pdf,,0009001,
EFTA00008998.pdf,,0009002,
EFTA00008998.pdf,,0009003,
EFTA00008998.pdf,,0009004,
EFTA00008998.pdf,,0009005,
EFTA00008998.pdf,,0009006,
EFTA00008998.pdf,,0009007,
EFTA00008998.pdf,,0009008,
EFTA00008998.pdf,,0009009,
EFTA00008998.pdf,,0009010,
EFTA00008998.pdf,,0009011,
EFTA00008998.pdf,,0009012,
EFTA00008998.pdf,,0009013,
EFTA00008998.pdf,,0009014,
EFTA00008998.pdf,,0009015,
